x,y,z
652.0,265.0,1284.3176470588235
651.0,266.0,1284.3176470588235
650.0,267.0,1284.3176470588235
649.0,267.0,1284.3176470588235
648.0,268.0,1284.3176470588235
647.0,269.0,1284.3176470588235
646.0,270.0,1284.3176470588235
645.0,270.0,1284.3176470588235
644.0,271.0,1284.3176470588235
643.0,272.0,1284.3176470588235
642.0,272.0,1284.3176470588235
641.0,272.0,1284.3176470588235
640.0,272.0,1284.3176470588235
639.0,272.0,1284.3176470588235
638.0,272.0,1284.3176470588235
637.0,272.0,1284.3176470588235
636.0,272.0,1284.3176470588235
635.0,272.0,1284.3176470588235
634.0,273.0,1284.3176470588235
633.0,273.0,1284.3176470588235
632.0,273.0,1284.3176470588235
631.0,274.0,1284.3176470588235
630.0,275.0,1284.3176470588235
629.0,276.0,1284.3176470588235
628.0,276.0,1284.3176470588235
627.0,276.0,1284.3176470588235
626.0,276.0,1284.3176470588235
625.0,276.0,1284.3176470588235
624.0,277.0,1284.3176470588235
623.0,278.0,1283.9411764705883
622.0,279.0,1283.9411764705883
621.0,279.0,1283.9411764705883
620.0,279.0,1283.9411764705883
619.0,280.0,1283.9411764705883
618.0,281.0,1283.5647058823529
617.0,282.0,1283.5647058823529
616.0,283.0,1283.5647058823529
615.0,284.0,1283.5647058823529
614.0,285.0,1283.1882352941177
613.0,286.0,1283.1882352941177
612.0,287.0,1283.1882352941177
611.0,288.0,1283.1882352941177
610.0,289.0,1283.1882352941177
609.0,290.0,1282.8117647058823
608.0,291.0,1282.8117647058823
607.0,292.0,1282.4352941176471
606.0,293.0,1282.4352941176471
605.0,294.0,1282.4352941176471
604.0,295.0,1282.4352941176471
603.0,296.0,1282.4352941176471
602.0,296.0,1282.4352941176471
601.0,297.0,1282.4352941176471
600.0,298.0,1282.0588235294117
600.0,299.0,1282.0588235294117
600.0,300.0,1282.0588235294117
599.0,301.0,1282.0588235294117
598.0,302.0,1282.0588235294117
597.0,303.0,1282.0588235294117
596.0,304.0,1282.0588235294117
595.0,305.0,1281.6823529411765
594.0,306.0,1281.6823529411765
594.0,307.0,1281.6823529411765
593.0,308.0,1281.6823529411765
592.0,309.0,1281.6823529411765
591.0,310.0,1281.6823529411765
590.0,311.0,1281.6823529411765
589.0,312.0,1281.6823529411765
588.0,312.0,1281.6823529411765
